"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Molecular_Function_2026::Sphingomyelin Phosphodiesterase Activity (GO:0004767)",0.0193650138065803,5,5,0.00168487329731256,"GO_Molecular_Function_2026",1,0.233096585919825,"n.s."
"GO_Molecular_Function_2026::Ubiquitin Protein Ligase Binding (GO:0031625)",0.0201612091549791,80,245,0.0557860023469303,"GO_Molecular_Function_2026",1,0.740487632345505,"n.s."
"GO_Biological_Process_2026::Fructose 1,6-Bisphosphate Metabolic Process (GO:0030388)",0.020459762154052,5,5,0.00168487329731256,"GO_Biological_Process_2026",1,0.270444932776737,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Protein Import Into Nucleus (GO:0042307)",0.0212437785726555,15,27,0.00226048629716107,"GO_Biological_Process_2026",1,0.291280622499243,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Catabolic Process (GO:0009895)",0.0213037613074989,34,89,0.0220996383382417,"GO_Biological_Process_2026",1,0.576078960421316,"n.s."
"GO_Biological_Process_2026::Transcription Initiation at RNA Polymerase II Promoter (GO:0006367)",0.0214328539958142,50,141,0.0294291450086997,"GO_Biological_Process_2026",1,0.632505931707483,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Autophagy (GO:0010507)",0.0215426295891065,25,60,0.0148086178373305,"GO_Biological_Process_2026",1,0.56118290290545,"n.s."
"GO_Biological_Process_2026::Intracellular Glucose Homeostasis (GO:0001678)",0.0219518495030181,20,40,0.00245753790971614,"GO_Biological_Process_2026",1,0.291280622499243,"n.s."
"GO_Biological_Process_2026::Extrinsic Apoptotic Signaling Pathway (GO:0097191)",0.0224212109811018,30,70,0.00499916916954017,"GO_Biological_Process_2026",1,0.397392327695349,"n.s."
"GO_Molecular_Function_2026::Small GTPase Binding (GO:0031267)",0.022671355720816,73,200,0.00468634186696511,"GO_Molecular_Function_2026",1,0.324763491380682,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Extrinsic Apoptotic Signaling Pathway (GO:2001237)",0.0231155897482472,26,60,0.00726864200572096,"GO_Biological_Process_2026",1,0.397392327695349,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Gene Expression, Epigenetic (GO:0045814)",0.0232707040037413,45,129,0.0486144132019313,"GO_Biological_Process_2026",1,0.752430248701452,"n.s."
"GO_Biological_Process_2026::Neutrophil-mediated Killing of Bacterium (GO:0070944)",0.0233995255803453,4,4,0.0060454456046828,"GO_Biological_Process_2026",1,0.397392327695349,"n.s."
